josh;4;3;2;2;4;2;3;2;2;4;2;5;5;2;3;2;4;4;4;2;11;6;2;5;8;5;5;8;4;4;10;5;7;2;8;4;15;7;2;6;4;20;18;12;19;14;2;2;4;20;2;17;2;21;7;11;21;7;2;10;3;7;5;3;4;7;20;13;56;8;182;378;393;17;413;1209;1965;0.06666666666666667
elibarzilay;3124;1;1.0
carlosgaldino;246;2877;248;0.012096774193548387
horndude77;3123;1;1.0
meh;3123;1;1.0
justinyost;3123;1;1.0
rkh;3123;1;1.0
earl;8;2;3113;11;0.2727272727272727
supahgreg;3118;1;1.0
christophermanning;3118;2;1.0
sarahhodne;3118;1;1.0
bilderbuchi;3118;1;1.0
Zlender;3116;2;1.0
tautologico;3116;1;1.0
softprops;2042;16;1057;2059;0.0014570179698882952
CyberShadow;3115;1;1.0
Ziaw;3113;1;1.0
Visgean;3108;1;1.0
jonsterling;3108;1;1.0
lkuper;2;3104;3;0.6666666666666666
bmabey;3100;1;1.0
Sharpie;3099;1;1.0
avdg;3097;1;1.0
flaviusb;3093;1;1.0
leto;3093;1;1.0
tekkub;3091;1;1.0
anaisbetts;8;104;126;470;288;2091;997;0.006018054162487462
kprevas;3085;1;1.0
ognevsky;5;3076;6;0.3333333333333333
petros;34;3037;35;0.05714285714285714
pjhyett;3063;1;1.0
beckje01;3061;1;1.0
Uberi;3057;2;1.0
kevinsawicki;502;29;8;482;2007;28;3031;0.0026393929396238865
stof;92;1961;1000;2054;0.0014605647517039922
mgdm;3038;1;1.0
robsimmons;3036;1;1.0
tmcw;3023;1;1.0
maieul;1021;14;1980;1036;0.0028957528957528956
zmanji;3006;1;1.0
kepstin;3004;1;1.0
alloy;1918;12;1059;1931;0.0015535991714137752
trishume;4;18;2960;23;0.13043478260869565
FredrikL;142;2981;143;0.013986013986013986
gsmcwhirter;2976;1;1.0
sunaku;2975;1;1.0
tmm1;2974;2;1.0
tclem;2;2685;1486;1213;4175;0.0011976047904191617
arturdryomov;2935;19;2936;0.0006811989100817438
frewsxcv;2953;1;1.0
sbisbee;2953;1;1.0
dom96;2941;1;1.0
earwig;2915;1;1.0
brynary;2915;1;1.0
thorade;1259;1653;1260;0.0015873015873015873
utkarshkukreti;2912;1;1.0
robnewman;2903;1;1.0
leafo;203;131;2563;335;0.008955223880597015
caged;1908;985;1909;0.0010476689366160294
thomshouse;2892;1;1.0
MeirKriheli;2891;1;1.0
rankida;2890;2;1.0
zhensydow;2889;1;1.0
abevoelker;8;33;2856;42;0.07142857142857142
mavam;2884;1;1.0
jaxzin;15;8;2858;24;0.125
pmoura;535;389;1951;925;0.003243243243243243
jstrachan;14;2;2856;17;0.17647058823529413
jerstlouis;2863;1;1.0
semperos;2858;1;1.0
trq;2852;1;1.0
baoshan;2849;2;1.0
lparenteau;2;29;17;8;296;2498;353;0.0169971671388102
aseemk;2843;2;1.0
pao;2;2841;3;0.6666666666666666
rodjek;2837;1;1.0
vmg;20;52;726;8;5;68;6;25;20;11;2;7;22;192;4;66;10;2;9;3;165;431;190;12;45;6;4;715;2124;0.018832391713747645
igrigorik;2837;1;1.0
bakkdoor;2819;1;1.0
thestinger;28;171;2637;200;0.015
horchler;2808;1;1.0
pwaller;2806;1;1.0
rsanheim;2795;1;1.0
