login;commits;percentage
aaron1011;1;0.01704448610874382
ankitr;1;0.01704448610874382
anthony-c-martin;1;0.01704448610874382
anthonydgreen;1;0.01704448610874382
aqnouch;1;0.01704448610874382
astavale;1;0.01704448610874382
avdg;1;0.01704448610874382
matiasinsaurralde;1;0.01704448610874382
bbarker;1;0.01704448610874382
rlidwka;1;0.01704448610874382
nox;1;0.01704448610874382
calavera;1;0.01704448610874382
cjgdev;1;0.01704448610874382
aaronfranke;1;0.01704448610874382
keplersj;1;0.01704448610874382
peol;1;0.01704448610874382
deviantintegral;1;0.01704448610874382
johnjcamilleri;1;0.01704448610874382
sig-aarena;1;0.01704448610874382
sellout;1;0.01704448610874382
seanupton;1;0.01704448610874382
jasonbot;1;0.01704448610874382
jamiebuilds;1;0.01704448610874382
frityet;1;0.01704448610874382
ghiculescu;1;0.01704448610874382
hoosieree;1;0.01704448610874382
andygrunwald;1;0.01704448610874382
anantn;1;0.01704448610874382
not-in-stock;1;0.01704448610874382
ammaraskar;1;0.01704448610874382
afischer;1;0.01704448610874382
agraebe;1;0.01704448610874382
ai;1;0.01704448610874382
mgdm;1;0.01704448610874382
tobiasvl;1;0.01704448610874382
adamint;1;0.01704448610874382
wesinator;1;0.01704448610874382
akissinger;1;0.01704448610874382
afeld;1;0.01704448610874382
wcandillon;1;0.01704448610874382
abuiles;1;0.01704448610874382
wader;1;0.01704448610874382
alaingilbert;1;0.01704448610874382
ad-si;1;0.01704448610874382
alexlouden;1;0.01704448610874382
amiralies;1;0.01704448610874382
mcandre;1;0.01704448610874382
mattt;1;0.01704448610874382
alexanderpann;1;0.01704448610874382
alexcb;1;0.01704448610874382
alloy;1;0.01704448610874382
abahgat;1;0.01704448610874382
hearsilent;2;0.03408897221748764
jkutner;2;0.03408897221748764
jj;2;0.03408897221748764
jirutka;2;0.03408897221748764
igrigorik;2;0.03408897221748764
jackrainy;2;0.03408897221748764
jerstlouis;2;0.03408897221748764
jeanlouisboudart;2;0.03408897221748764
javierhonduco;2;0.03408897221748764
michaelficarra;2;0.03408897221748764
idrougge;2;0.03408897221748764
michidk;2;0.03408897221748764
jimhester;2;0.03408897221748764
joewiz;2;0.03408897221748764
jstrachan;2;0.03408897221748764
joshcheek;2;0.03408897221748764
maximusvladimir;2;0.03408897221748764
mattn;2;0.03408897221748764
manveru;2;0.03408897221748764
lucaswerkmeister;2;0.03408897221748764
lkuper;2;0.03408897221748764
liluo;2;0.03408897221748764
liavt;2;0.03408897221748764
laurencewarne;2;0.03408897221748764
ktdreyer;2;0.03408897221748764
krausefx;2;0.03408897221748764
kidonng;2;0.03408897221748764
meatballhat;2;0.03408897221748764
jwatzman;2;0.03408897221748764
juliangehring;2;0.03408897221748764
jtbandes;2;0.03408897221748764
jrha;2;0.03408897221748764
jpienaar;2;0.03408897221748764
johan;2;0.03408897221748764
grindhold;2;0.03408897221748764
earl;2;0.03408897221748764
