login;commits;percentage
matthiasgeiger;429;4.06750734806106
lenhard;829;7.860054991940836
oscargus;875;8.29619797098701
stefan-kolb;1074;10.1829904238172
Siedlerchr;1095;10.382099175120887
simonharrer;1115;10.571726557314877
tobiasdiez;1188;11.263866502322935
koppor;1917;18.175784583293826
