mojombo;44;210;31;62;533;3449;881;0.00681044267877412
defunkt;80;3071;81;0.024691358024691357
leereilly;125;2520;126;0.015873015873015872
Cameron423698;2561;1;1.0
bkeepers;9;1783;10;0.2
