dev,cosine_similarity
jimhester,0.72
kethomassen,0.71
aseemk,0.71
horndude77,0.7
mislav,0.62
buildersbrewery,0.61
andyli,0.6
rdeltour,0.59
nox,0.58
jdennes,0.53
