dev,cosine_similarity
deadfoxygrandpa,0.47
robrix,0.45
ianamason,0.43
apennebaker-ni,0.42
lsf37,0.38
keplersj,0.38
stof,0.38
chrislgarry,0.37
tenbits,0.37
soonhokong,0.37
