dev,cosine_similarity
tnm,0.54
elehcim,0.42
moorepants,0.41
lparenteau,0.37
zacstewart,0.23
gentoo90,0.22
rdeltour,0.21
andyli,0.21
DHowett,0.21
jdennes,0.2
