dev,cosine_similarity
davidemdot,0.26
VMichelan,0.17
victorjof,0.17
stefan-kolb,0.15
Siedlerchr,0.13
koppor,0.13
tobiasdiez,0.13
CyraxSector,0.12
sfo,0.1
illes,0.1
