dev,cosine_similarity
deadfoxygrandpa,0.49
robrix,0.47
ianamason,0.45
apennebaker-ni,0.44
lsf37,0.4
keplersj,0.4
tenbits,0.39
stof,0.39
soonhokong,0.39
jrnold,0.38
