dev,cosine_similarity
tobiasvl,0.88
sylveon,0.72
aaronfranke,0.71
Aaron1011,0.71
abuiles,0.71
alaingilbert,0.71
abahgat,0.71
hoosierEE,0.71
amiralies,0.71
ankitr,0.71
