dev,cosine_similarity
dalehenrich,0.31
edmundito,0.3
seanupton,0.23
adityam,0.23
akashivskyy,0.23
zzet,0.23
ognevsky,0.23
rognierbenoit,0.23
briandela,0.23
Sharpie,0.23
