dev,cosine_similarity
javierhonduco,0.45
seppestas,0.32
tarebyte,0.14
williamd1k0,0.13
vmg,0.11
tesch1,0.1
aroben,0.08
fushnisoft,0.08
edmundito,0.08
dalehenrich,0.08
