dev,cosine_similarity
stefan-kolb,0.4
matthiasgeiger,0.35
koppor,0.33
tobiasdiez,0.33
Siedlerchr,0.21
davidemdot,0.13
calixtus,0.09
dependabot[bot],0.07
vpbhargav,0.07
cs464osu,0.06
