dev,cosine_similarity
gjtorikian,0.34
bkeepers,0.31
vmg,0.31
jdennes,0.3
liluo,0.27
nox,0.27
brianmario,0.26
edmundito,0.26
anaisbetts,0.26
andyli,0.26
