dev,cosine_similarity
stof,0.61
deadfoxygrandpa,0.53
tobiasvl,0.51
robrix,0.5
azjezz,0.49
apennebaker-ni,0.48
ianamason,0.48
nishtahir,0.48
alexlouden,0.48
samcv,0.44
