dev,cosine_similarity
ruben2020,0.3
DennisMcWherter,0.29
greystate,0.28
DHowett,0.27
akissinger,0.27
aaronfranke,0.26
Aaron1011,0.26
abuiles,0.26
alaingilbert,0.26
abahgat,0.26
