dev,cosine_similarity
edmundito,0.55
gjtorikian,0.52
pchaigno,0.46
arfon,0.39
bkeepers,0.39
dalehenrich,0.35
aroben,0.3
hoelzro,0.23
techhat,0.22
vmg,0.2
