dev,cosine_similarity
greystate,0.48
seanupton,0.47
adityam,0.47
akashivskyy,0.47
zzet,0.47
ognevsky,0.47
rognierbenoit,0.47
briandela,0.47
Sharpie,0.47
DavidJFelix,0.47
