dev,cosine_similarity
seanupton,0.46
adityam,0.46
akashivskyy,0.46
zzet,0.46
ognevsky,0.46
rognierbenoit,0.46
briandela,0.46
Sharpie,0.46
DavidJFelix,0.46
erik,0.46
