dev,cosine_similarity
DennisMcWherter,0.54
greystate,0.52
DHowett,0.51
akissinger,0.51
KoffeinFlummi,0.47
alokedesai,0.46
GordonSmith,0.46
cgranade,0.45
emma-burrows,0.44
aaronfranke,0.42
