dev,cosine_similarity
deadfoxygrandpa,0.36
chezwicker,0.35
apennebaker-ni,0.32
ianamason,0.32
robrix,0.32
aroben,0.3
williamd1k0,0.29
keplersj,0.29
stof,0.29
lsf37,0.28
