dev,cosine_similarity
aaronfranke,0.6
Aaron1011,0.6
abuiles,0.6
alaingilbert,0.6
abahgat,0.6
hoosierEE,0.6
amiralies,0.6
ankitr,0.6
avdg,0.6
seanupton,0.59
