dev,cosine_similarity
aaronfranke,0.53
Aaron1011,0.53
abuiles,0.53
alaingilbert,0.53
abahgat,0.53
hoosierEE,0.53
amiralies,0.53
ankitr,0.53
avdg,0.53
seanupton,0.52
