dev,cosine_similarity
pmoura,0.81
Ziaw,0.79
CyberShadow,0.66
pao,0.55
aaronfranke,0.54
Aaron1011,0.54
abuiles,0.54
alaingilbert,0.54
abahgat,0.54
hoosierEE,0.54
