dev,cosine_similarity
kr,0.66
peol,0.66
joshaber,0.64
developerinlondon,0.64
Flyingmana,0.6
tamird,0.58
aaronpuchert,0.52
afeld,0.46
vighnesh1987,0.37
liluo,0.37
