dev,cosine_similarity
mcandre,0.54
deadfoxygrandpa,0.47
ianamason,0.43
robrix,0.42
tokenrove,0.39
adaedra,0.39
apennebaker-ni,0.38
keplersj,0.38
cjgdev,0.38
yyx990803,0.37
