dev,cosine_similarity
lkuper,0.81
Ziaw,0.79
CyberShadow,0.69
aaronfranke,0.59
Aaron1011,0.59
abuiles,0.59
alaingilbert,0.59
abahgat,0.59
hoosierEE,0.59
amiralies,0.59
