dev,cosine_similarity
kethomassen,0.9
aseemk,0.9
jimhester,0.9
horndude77,0.89
buildersbrewery,0.76
andyli,0.76
rdeltour,0.75
aaronfranke,0.66
Aaron1011,0.66
abuiles,0.66
