dev,cosine_similarity
seanupton,0.48
adityam,0.48
akashivskyy,0.48
zzet,0.48
ognevsky,0.48
rognierbenoit,0.48
briandela,0.48
Sharpie,0.48
DavidJFelix,0.48
erik,0.48
