dev,cosine_similarity
pmoura,0.79
lkuper,0.79
CyberShadow,0.63
pao,0.51
jaxzin,0.46
Uberi,0.45
thestinger,0.45
johan,0.45
rodjek,0.44
aaronpuchert,0.43
