dev,cosine_similarity
aaronfranke,0.79
Aaron1011,0.79
abuiles,0.79
alaingilbert,0.79
abahgat,0.79
hoosierEE,0.79
amiralies,0.79
ankitr,0.79
avdg,0.79
seanupton,0.78
