dev,cosine_similarity
DennisMcWherter,0.61
greystate,0.59
DHowett,0.58
akissinger,0.58
GordonSmith,0.52
alokedesai,0.51
emma-burrows,0.5
cgranade,0.5
kashif,0.47
aaronfranke,0.47
