dev,cosine_similarity
greystate,0.35
DennisMcWherter,0.35
DHowett,0.33
akissinger,0.33
rick,0.32
aaronfranke,0.31
Aaron1011,0.31
abuiles,0.31
alaingilbert,0.31
abahgat,0.31
