dev,cosine_similarity
tobiasvl,0.59
CyberShadow,0.51
hipikat,0.49
a0viedo,0.49
deviantintegral,0.49
stof,0.48
sylveon,0.48
earl,0.45
miek,0.44
andyli,0.43
