dev,cosine_similarity
CyberShadow,0.57
aaronpuchert,0.55
pao,0.46
kr,0.43
seanupton,0.43
adityam,0.43
akashivskyy,0.43
zzet,0.43
ognevsky,0.43
rognierbenoit,0.43
