dev,cosine_similarity
chriskuehl,0.14
williamd1k0,0.1
aaronfranke,0.09
Aaron1011,0.09
hipikat,0.09
abuiles,0.09
ad-si,0.09
alaingilbert,0.09
a0viedo,0.09
abahgat,0.09
