dev,cosine_similarity
humzashah,0.45
tarebyte,0.15
aroben,0.08
stevepiercy,0.08
fushnisoft,0.08
williamd1k0,0.07
SparkysWidgets,0.06
aqnouch,0.06
aaronfranke,0.06
Aaron1011,0.06
