dev,cosine_similarity
aaronfranke,0.57
Aaron1011,0.57
abuiles,0.57
alaingilbert,0.57
abahgat,0.57
hoosierEE,0.57
amiralies,0.57
ankitr,0.57
avdg,0.57
dasmithii,0.56
