dev,cosine_similarity
stefan-kolb,0.04
matthiasgeiger,0.04
Siedlerchr,0.03
koppor,0.03
tobiasdiez,0.03
PointOfNilReturn,0
dependabot[bot],0
deisi,0
parammittal16,0
steffinstanly,0
