dev,cosine_similarity
stefan-kolb,0.05
koppor,0.03
tobiasdiez,0.02
matthiasgeiger,0.01
PointOfNilReturn,0
dependabot[bot],0
deisi,0
parammittal16,0
steffinstanly,0
dimmonn,0
