dev,cosine_similarity
steffinstanly,0.35
MisterM13,0.25
illes,0.2
carlg0ransson,0.19
sfo,0.19
ms111ds,0.19
martinacat,0.19
dawidowoc,0.18
Ka0o0,0.18
dimmonn,0.17
