dev,cosine_similarity
ktdreyer,0.55
michaelficarra,0.44
rtomayko,0.43
skalnik,0.37
earl,0.33
alindeman,0.32
beckje01,0.32
horchler,0.32
CyberShadow,0.3
mgdm,0.29
