dev,cosine_similarity
robrix,0.73
aaronfranke,0.65
Aaron1011,0.65
abuiles,0.65
alaingilbert,0.65
abahgat,0.65
hoosierEE,0.65
amiralies,0.65
ankitr,0.65
avdg,0.65
