dev,cosine_similarity
CyberShadow,0.69
pao,0.56
Uberi,0.5
thestinger,0.5
aaronfranke,0.5
Aaron1011,0.5
abuiles,0.5
alaingilbert,0.5
abahgat,0.5
hoosierEE,0.5
