dev,cosine_similarity
tenbits,0.83
anpar,0.76
othree,0.73
deadfoxygrandpa,0.73
apennebaker-ni,0.67
ianamason,0.67
aaronfranke,0.65
Aaron1011,0.65
abuiles,0.65
alaingilbert,0.65
