schacon;39;7;9;156;169;3597;385;0.025974025974025976
dustin;3952;1;1.0
ngerakines;3951;1;1.0
mischa;3927;1;1.0
halorgium;502;3422;503;0.003976143141153081
judofyr;3924;1;1.0
runpaint;3922;1;1.0
bryceroney;3917;1;1.0
defunkt;2;6;21;23;4;15;2;10;331;131;59;3022;607;0.023064250411861616
pjhyett;3606;1;1.0
EddieRingle;104;3452;105;0.01904761904761905
technoweenie;7;7;13;4;32;23;14;72;52;13;8;9;6;19;3;4;23;3;27;31;220;2960;592;0.03885135135135135
kneath;3542;1;1.0
fitzgen;3496;1;1.0
claudiob;3492;1;1.0
fjakobs;3505;1;1.0
nabeelmukhtar;3449;2;1.0
sarahhodne;3439;1;1.0
rohit;3435;1;1.0
diogenes;3358;1;1.0
mtodd;3326;1;1.0
farnoy;10;22;3278;33;0.09090909090909091
petros;3274;1;1.0
mislav;3236;1;1.0
atmos;97;3127;98;0.02040816326530612
kevinsawicki;3213;1;1.0
Cameron423698;4;2;13;27;7;3116;56;0.14285714285714285
mojombo;3149;1;1.0
jasoncostello;35;3087;37;0.08108108108108109
russplaysguitar;3112;1;1.0
holman;14;56;2997;71;0.04225352112676056
andreazevedo;2858;1;1.0
leereilly;2850;1;1.0
pengwynn;2749;1;1.0
bkeepers;1794;1;1.0
