koppor;64;3;4;17;22;34;5;7;5;3;66;2;34;3;20;5;3;8;5;10;3;4;17;6;2;4;4;9;2;9;4;7;2;4;25;17;27;15;18;5;91;24;2;16;3;38;48;15;4;4;8;27;3;2;14;7;14;7;11;7;2;8;32;8;5;172;282;28;8;6;5;2;12;12;6;2;13;9;23;138;259;164;485;1038;2553;0.041519780650215436
simonharrer;178;1336;179;0.0111731843575419
stefan-kolb;132;189;94;1035;416;0.009615384615384616
oscargus;15;145;31;57;1190;252;0.031746031746031744
Siedlerchr;53;87;17;9;7;3;3;3;2;12;5;7;2;3;10;54;2;42;52;17;163;29;10;73;2;74;29;14;25;86;31;36;2;5;16;59;62;14;217;150;221;920;1231;2636;0.01896813353566009
mlep;16;3;2;84;4;8;4;4;3;3;5;2;4;6;3;3;4;2;4;3;4;3;8;2;6;18;13;3;4;253;3;9;22;48;357;476;7;58;111;4;23;18;271;1636;0.03728606356968215
matthiasgeiger;4;4;11;2;57;9;12;4;9;75;10;18;14;8;50;35;111;616;215;330;230;1595;0.013166144200626959
lenhard;76;290;88;4;6;818;465;0.012903225806451613
zesaro;16;1246;17;0.11764705882352941
obraliar;2;2;22;17;10;2;27;1159;83;0.0963855421686747
mairdl;2;1237;3;0.6666666666666666
bruehldev;1220;1;1.0
chriba;2;7;2;39;44;1119;99;0.10101010101010101
koji33;6;7;7;73;259;863;355;0.022535211267605635
KojiYokota;6;1204;7;0.2857142857142857
tobiasdiez;312;89;30;28;595;201;1124;1231;2381;0.0037799244015119695
jonasstein;188;931;189;0.010582010582010581
paulsputer;1077;1;1.0
stefanfeyer;4;1067;5;0.4
arcanefoam;1055;1;1.0
jhshinn;933;1;1.0
PierreMarchand20;828;1;1.0
LinusDietz;6;65;57;5;695;134;0.03731343283582089
alick;528;278;529;0.003780718336483932
vigmond;754;1;1.0
johannes-manner;15;34;644;50;0.06
jacksonrya;628;2;1.0
derTimme;598;1;1.0
MBradbury;589;1;1.0
gabrielhomsi;556;1;1.0
Tianyijian;518;2;1.0
mariamgui;435;1;1.0
JoKalliauer;434;1;1.0
hrittich;433;1;1.0
laolux;428;1;1.0
AEgit;291;1;1.0
gooly;262;1;1.0
j0hannes;258;2;1.0
Druidefix;215;1;1.0
superSK322;144;1;1.0
stephanlukasczyk;138;1;1.0
dawidowoc;129;1;1.0
SinithH;104;1;1.0
Yash-Garg;101;1;1.0
lex111;100;2;1.0
sakshamtaneja21;94;1;1.0
michizhou;13;67;16;0.25
rzkytmgr;81;2;1.0
davidemdot;73;1;1.0
ThiloteE;219;2;77;45;170;70;1328;586;0.015358361774744027
smfactor;1323;1;1.0
gr7ffo;1305;1;1.0
calixtus;1136;3;1187;1140;0.002631578947368421
floxdeveloper;1162;1;1.0
MaryJml;1152;1;1.0
LyzardKing;174;29;9;47;117;576;110;1149;1064;0.008458646616541353
jkulesza;1113;1;1.0
Krzmbrzl;1105;1;1.0
allydunham;1070;1;1.0
claell;1058;1;1.0
chary0079;7;1038;8;0.25
KievitJustin;4;2;21;1038;29;0.1724137931034483
joennlae;1020;1;1.0
HakonHarnes;1014;1;1.0
meatnordrink;1010;1;1.0
HoussemNasri;69;965;70;0.02857142857142857
Mohamadi98;788;1;1.0
pcdi;771;1;1.0
marcelm;747;1;1.0
funnym0nk3y;733;1;1.0
agolovanov;709;1;1.0
ilippert;618;1;1.0
btut;11;75;594;87;0.034482758620689655
PGijsbers;593;1;1.0
k3KAW8Pnf7mkmdSMPHz27;4;136;34;53;8;15;7;167;27;565;452;0.022123893805309734
Arnan-Dee;539;1;1.0
zc-BEAR;429;1;1.0
hneyster;399;1;1.0
agnesdober;394;1;1.0
lhietal;374;1;1.0
bemilton;367;1;1.0
ibe-314;356;1;1.0
sankayop;342;1;1.0
joethei;10;37;321;48;0.0625
DominikVoigt;314;1;1.0
teertinker;208;310;209;0.009569377990430622
AtrusRiven;8;303;9;0.2222222222222222
eugenio;298;1;1.0
IsaacRoles;275;1;1.0
dawidm;252;1;1.0
Amudtogal;237;1;1.0
monikajaskolka;231;1;1.0
hemantgs;208;1;1.0
daniel-price;175;1;1.0
ghost;162;1;1.0
wolfgang-noichl;135;1;1.0
abadar;134;1;1.0
mikegilchrist;130;1;1.0
marecabo;102;1;1.0
m-wells;92;1;1.0
xolotl90;54;1;1.0
wujastyk;46;1;1.0
nilsstre;43;1;1.0
keinstein;22;1;1.0
igorsteinmacher;2;1;1.0
sumitkharche;95;1;1.0
Avikrit10;96;1;1.0
sameshl;101;1;1.0
aytekinar;124;1;1.0
dewulf;1356;1;1.0
