sr;4;4;3;21;4;4;4;19;11;16;13;48;9;16;5;5;2;5;55;110;81;86;24;23;11;2;2351;599;0.0667779632721202
atmos;2;16;158;260;2;3;10;81;15;20;16;4;22;30;12;12;65;22;56;81;99;14;1946;1004;0.025896414342629483
holman;2948;1;1.0
tombell;2;363;2583;366;0.00819672131147541
danp;2948;1;1.0
cloudbring;2948;1;1.0
calavera;2947;2;1.0
vivek;2947;1;1.0
schisamo;2945;3;1.0
jsmestad;15;2929;17;0.17647058823529413
shama;2936;1;1.0
Mab879;2936;1;1.0
chrismytton;2935;1;1.0
dustyburwell;2932;2;1.0
andres-torres-marroquin;2924;1;1.0
mhfs;2;2;4;2902;9;0.4444444444444444
mcornick;2896;1;1.0
lucasmazza;560;2317;561;0.0035650623885918
jmccartie;2865;1;1.0
flype;2850;1;1.0
priteau;2836;1;1.0
schlamar;2835;1;1.0
shayfrendt;2780;1;1.0
jessedearing;2772;1;1.0
ejholmes;13;76;2681;90;0.03333333333333333
jakedouglas;16;2777;18;0.16666666666666666
jspahrsummers;2700;2;1.0
rsanheim;4;8;76;14;40;2550;144;0.04861111111111111
rileytg;8;2591;9;0.2222222222222222
mal;54;893;1657;948;0.0031645569620253164
wfarr;502;3;2085;506;0.005928853754940711
maletor;2556;1;1.0
Iristyle;6;15;2569;22;0.13636363636363635
masverba;2508;1;1.0
ejfinneran;2422;1;1.0
aroben;7;2394;9;0.3333333333333333
kassio;2346;1;1.0
akatz;2322;1;1.0
mattr-;344;14;23;9;9;71;27;21;189;23;111;8;38;52;391;98;118;21;67;183;58;133;52;221;2067;0.01451378809869376
parkr;2;2196;3;0.6666666666666666
tmm1;2170;1;1.0
ChrisLundquist;17;3;2130;21;0.14285714285714285
bhuga;3;7;31;29;62;2008;134;0.05223880597014925
luxflux;2071;1;1.0
calmyournerves;5;16;2049;22;0.13636363636363635
Mezzle;2064;1;1.0
Reprazent;54;1946;57;0.07017543859649122
mbartmann;5;4;6;35;9;19;19;1987;99;0.09090909090909091
ellneal;1357;1;1.0
dlackty;954;1;1.0
gargola;716;2;1.0
