benbalter;9;18;34;37;7;68;25;97;36;2;2;3;5;34;36;12;112;4;25;21;8;42;8;68;32;3;9;3;17;12;5;28;5;2;42;22;10;3;2;9;10;4;87;308;132;76;828;1548;0.03875968992248062
pborreli;2375;1;1.0
bxt;2375;1;1.0
haacked;33;7;20;9;27;2;4;2;5;11;13;6;2;14;23;3;19;206;1953;423;0.08274231678486997
ajepst;2375;1;1.0
dpen2000;2375;1;1.0
steko;2375;1;1.0
elcuervo;2375;1;1.0
veganstraightedge;2374;1;1.0
bhuga;530;3;1839;536;0.009328358208955223
spraints;2374;1;1.0
juanfra684;2;265;53;2053;321;0.012461059190031152
rohieb;2371;1;1.0
sl4mmy;2371;1;1.0
imbriaco;2365;1;1.0
weakish;2364;1;1.0
enyst;89;2251;91;0.03296703296703297
pathawks;260;2;2077;263;0.011406844106463879
afeld;2;37;37;2;10;6;11;15;658;1535;780;0.014102564102564103
waynebeaton;2281;1;1.0
IQAndreas;2274;3;1.0
gjtorikian;421;1854;422;0.004739336492890996
tekkub;2270;1;1.0
XhmikosR;33;5;3;37;4;326;1852;417;0.03597122302158273
derks;2267;1;1.0
JoshData;2261;2;1.0
davelab6;630;1623;631;0.003169572107765452
randomecho;6;2;3;2223;12;0.3333333333333333
konklone;2220;1;1.0
mjastrzebowski;2218;1;1.0
shinnn;258;1901;259;0.007722007722007722
kappa7194;2094;1;1.0
ciarand;2039;1;1.0
ax3l;2039;1;1.0
pingiun;409;1622;410;0.004878048780487805
mindspillage;1854;1;1.0
stuartpb;1834;1;1.0
real-or-random;1824;1;1.0
bkeepers;49;144;2;43;20;70;351;1093;682;0.01466275659824047
lord63;1745;1;1.0
Jitrixis;1724;1;1.0
matt40k;77;18;1597;96;0.03125
jdennes;1655;1;1.0
christianbundy;1597;1;1.0
waldyrious;179;17;38;111;14;22;31;69;47;300;884;57;1713;0.0070052539404553416
OmgImAlexis;1543;1;1.0
mina86;1520;1;1.0
mlinksva;2;20;13;7;2;3;2;2;2;2;2;2;2;2;7;2;5;2;2;2;2;2;2;3;3;3;3;9;3;2;2;15;4;18;15;14;18;4;7;14;63;6;2;4;9;7;6;3;24;4;2;9;10;2;3;4;2;12;13;20;5;4;6;3;10;8;2;5;7;17;7;53;12;3;5;9;4;10;2;8;5;4;2;4;5;20;2;2;7;16;4;43;13;8;2;3;2;6;6;28;23;3;4;3;4;5;14;2;12;3;2;12;6;29;16;9;2;5;3;37;24;5;5;16;5;7;4;10;30;55;10;16;8;11;2;37;9;29;30;24;2;10;2;19;19;1475;0.1776271186440678
sieversMartin;1455;3;1.0
EmidioStani;1449;1;1.0
prayagverma;1446;1;1.0
wking;21;11;668;3;739;704;0.007102272727272727
thewarpaint;1419;1;1.0
mmckinst;1406;1;1.0
ad-si;1401;1;1.0
LeoFNaN;24;1358;26;0.11538461538461539
IanLee1521;1376;1;1.0
Zimmi48;1352;1;1.0
ShaneCurcuru;1349;2;1.0
x4m3;4;1332;5;0.4
pombredanne;1333;1;1.0
jlovejoy;1329;1;1.0
bill-auger;1324;1;1.0
saraford;1311;1;1.0
EmilGedda;1309;1;1.0
pchaigno;1295;1;1.0
sdgluck;1270;1;1.0
jgovea25;1255;1;1.0
joto;1216;1;1.0
anandtrex;1192;1;1.0
guiscaranse;1107;1;1.0
Phineas;1064;1;1.0
jacobmischka;1048;1;1.0
buckett;1034;1;1.0
narendasan;1026;2;1.0
floatingatoll;1011;1;1.0
eogas;973;1;1.0
grv87;969;1;1.0
kingjan1999;950;1;1.0
johnjago;949;1;1.0
hkdobrev;939;1;1.0
MattiSG;195;741;197;0.015228426395939087
dlecan;2;933;4;0.75
ljoubert;2;923;3;0.6666666666666666
RhysBower;908;1;1.0
games647;836;1;1.0
lqez;817;2;1.0
jsoref;800;1;1.0
sdbedi;742;1;1.0
MikeMcQuaid;698;1;1.0
Djelibeybi;406;239;407;0.004914004914004914
orsinium;637;1;1.0
ale5000-git;565;1;1.0
RichMorin;560;1;1.0
NutshellySima;532;1;1.0
wolfgang42;514;1;1.0
felipelube;5;3;454;10;0.4
user-e;4;445;5;0.4
andrewvora;440;1;1.0
JoelKatz;440;1;1.0
JadedBlueEyes;402;1;1.0
vanillajonathan;372;1;1.0
smathermather;367;2;1.0
smathermather-cm;367;1;1.0
johanricher;9;10;262;20;0.15
jakejarvis;142;1;1.0
annevk;112;1;1.0
alistair23;149;53;150;0.013333333333333334
