dev,cosine_similarity
stefan-kolb,0.8
matthiasgeiger,0.7
koppor,0.67
tobiasdiez,0.64
Siedlerchr,0.42
davidemdot,0.24
calixtus,0.13
mlep,0.11
Ka0o0,0.1
b0n541,0.08
