dev,cosine_similarity
steffinstanly,0.43
MisterM13,0.3
illes,0.24
sfo,0.23
ms111ds,0.23
martinacat,0.23
Ka0o0,0.21
dimmonn,0.2
taerim25,0.2
Julien29121998,0.2
