dev,cosine_similarity
stefan-kolb,0.78
matthiasgeiger,0.74
tobiasdiez,0.67
koppor,0.64
Siedlerchr,0.49
davidemdot,0.29
calixtus,0.14
Ka0o0,0.12
mlep,0.11
dependabot[bot],0.09
