dev,cosine_similarity
steffinstanly,0.23
MisterM13,0.16
sfo,0.13
ms111ds,0.13
illes,0.13
martinacat,0.12
dimmonn,0.11
taerim25,0.11
Julien29121998,0.11
tobiasdiez,0.09
