dev,cosine_similarity
koppor,0.04
tobiasdiez,0.04
Siedlerchr,0.03
stefan-kolb,0.03
davidemdot,0.03
matthiasgeiger,0.02
PointOfNilReturn,0
dependabot[bot],0
deisi,0
parammittal16,0
