dev,cosine_similarity
parammittal16,1.08
davidemdot,0.05
Siedlerchr,0.03
stefan-kolb,0.03
koppor,0.03
tobiasdiez,0.03
matthiasgeiger,0.02
PointOfNilReturn,0
dependabot[bot],0
deisi,0
