dev,cosine_similarity
mlep,0.25
ffffatgoose,0.2
ageofadz,0.19
rodps,0.14
b0n541,0.14
Ka0o0,0.13
calixtus,0.09
stefan-kolb,0.08
koppor,0.07
matthiasgeiger,0.07
