dev,cosine_similarity
steffinstanly,0.73
MisterM13,0.52
illes,0.41
sfo,0.4
ms111ds,0.4
martinacat,0.4
dimmonn,0.35
taerim25,0.35
Julien29121998,0.35
ageofadz,0.26
