dev,cosine_similarity
ageofadz,0.22
Siedlerchr,0.2
vpbhargav,0.19
Ka0o0,0.18
znuznu,0.17
tobiasdiez,0.17
calixtus,0.16
b0n541,0.16
dimmonn,0.15
steffinstanly,0.14
