dev,cosine_similarity
Ka0o0,0.33
sfo,0.26
steffinstanly,0.23
b0n541,0.22
calixtus,0.18
MisterM13,0.17
ageofadz,0.17
CyraxSector,0.17
carlg0ransson,0.16
Siedlerchr,0.14
