dev,cosine_similarity
tobiasdiez,0.65
koppor,0.6
Siedlerchr,0.55
stefan-kolb,0.54
matthiasgeiger,0.54
davidemdot,0.43
calixtus,0.2
rodps,0.16
Ka0o0,0.15
b0n541,0.15
