dev,cosine_similarity
matthiasgeiger,0.54
stefan-kolb,0.46
tobiasdiez,0.44
koppor,0.41
Siedlerchr,0.36
davidemdot,0.18
calixtus,0.14
Ka0o0,0.12
b0n541,0.1
MisterM13,0.09
