dev,cosine_similarity
steffinstanly,0.18
Ka0o0,0.17
Siedlerchr,0.13
MisterM13,0.13
tobiasdiez,0.12
stefan-kolb,0.11
koppor,0.1
sfo,0.1
ms111ds,0.1
illes,0.1
