dev,cosine_similarity
Ka0o0,0.29
cmoralesmx,0.19
steffinstanly,0.18
ffffatgoose,0.18
taerim25,0.17
b0n541,0.17
tobiasdiez,0.14
Siedlerchr,0.13
MisterM13,0.13
ageofadz,0.13
