dev,cosine_similarity
carlg0ransson,0.31
calixtus,0.16
dawidowoc,0.14
mmihuu,0.14
Ka0o0,0.11
matthiasgeiger,0.09
Siedlerchr,0.08
rodps,0.08
tobiasdiez,0.07
b0n541,0.07
